PMID,Title,Abstract,Date
40214124,Identification of novel small molecule inhibitors of ETS transcription factors.,"The evolutionarily conserved E-Twenty-Six (ETS) family of transcription factors acts downstream of major signal transduction pathways and plays a pivotal role in tissue development and maintenance. Importantly, their function is frequently corrupted in a substantial proportion of tumour types, and they are also indispensable for angiogenic sprouting, a hallmark of cancer, which is essential for fuelling tumour enlargement and dissemination. Consequently, targeting aberrant ETS activity could potentially represent a precise and effective means by which to block tumour growth. Here, we present proof-of-principle high-throughput screens and an initial characterization of candidate hits, as a methodological and conceptual framework for the identification of novel ETS transcription factor inhibitors, which may ultimately lead to new therapeutic avenues for treating cancer.",2025-04-11
40212079,A Novel Piezo1 Agonist Promoting Mesenchymal Stem Cell Proliferation and Osteogenesis to Attenuate Disuse Osteoporosis.,"Disuse osteoporosis (OP) is a state of bone loss due to lack of mechanical stimuli, probably induced by prolonged bed rest, neurological diseases, as well as microgravity. Currently the precise treatment strategies of disuse OP remain largely unexplored. Piezo1, a mechanosensitive calcium (Ca<sup>2+</sup>) ion channel, is a key force sensor mediating mechanotransduction and it is demonstrated to regulate bone homeostasis and osteogenesis in response to mechanical forces. Using structure-based drug design, a novel small-molecule Piezo1 agonist, MCB-22-174, which can effectively activate Piezo1 and initiate Ca<sup>2+</sup> influx, is developed and is more potent than the canonical Piezo1 agonist, Yoda1. Moreover, MCB-22-174 is found as a safe Piezo1 agonist without any signs of serious toxicity. Mechanistically, Piezo1 activation promotes the proliferation of bone marrow mesenchymal stem cells by activating the Ca<sup>2+</sup>-related extracellular signal-related kinases and calcium-calmodulin (CaM)-dependent protein kinase II (CaMKII) pathway. Importantly, MCB-22-174 could effectively promote osteogenesis and attenuate disuse OP in vivo. Overall, the findings provide a promising therapeutic strategy for disuse OP by chemical activation of Piezo1.",2024-06-30
40207932,Research strategies of the N-peptide fusion inhibitor: a promising direction for discovering novel antivirals.,"AIDS, caused by HIV-1, is a devastating condition that severely compromises the human immune system, often resulting in fatal consequences. The primary therapeutic approach for AIDS involves a combination of multiple agents, known as ""cocktail therapy,"" aimed at maximizing and sustainably suppressing viral replication within patients. The ongoing discovery of novel compounds and the establishment of innovative research strategies have become the mandatory path to provide increasingly effective treatment options for AIDS. Peptide-based fusion inhibitors, exemplified as enfuvirtide, are able to target the six-helix bundle fusion core in HIV-1 envelope protein and function during the early stage of viral invasion. However, the prolonged and intensive use of enfuvirtide in clinical settings has posed significant challenges, including the emergence of drug resistance. N-peptide fusion inhibitors, whose sequences are different from enfuvirtide, exhibit potential anti-HIV-1 activity and inhibition of drug-resistant strains through the advanced coiled-coil conformation and are expected to serve as novel peptide inhibitors in the iteration of enfuvirtide. This paper provides a comprehensive summary of N-peptide fusion inhibitor research and development (R&D) to date, with the aim of providing investigators with prospective ideas for exploring antivirals.",2025-04-10
40207083,Effects of the number of ethylene glycol units on the efficacy of novel complex I inhibitor 9bw.,"4'-Iodobiphenyl nonaethylene glycol ether (9bw) is a novel small molecule, composed of a biphenyl unit and 9 ethylene glycol (EG) units. Recently, we found that 9bw induces apoptosis in cancer cells by inhibiting mitochondrial respiratory complex I (CI) and accordingly reducing cellular ATP level. In addition, 9bw shows little effect on normal cells, suggesting that 9bw is a potential antitumor agent with few adverse effects. However, the exact molecular mechanisms by which 9bw acts on CI are still elusive. To clarify the molecular structure critical for 9bw's function, we tested the function of 9bw analogues on human oral squamous cell carcinoma lines HSC4 and Ca9-22. The analogues were 4-hydroxy-4'-iodobiphenyl (HIOP), I-BP-EG3, I-BP-EG6, and I-BP-EG12 containing 0, 3, 6, and 12 EG units, respectively. Our results demonstrated that I-BP-EG6 and I-BP-EG12 inhibited CI to a similar extent as 9bw, whereas I-BP3 and HIOP showed no effect on CI activity. These observations indicate that the number of EG units is crucial for the activity of 9bw and its analogues. As high-performance liquid chromatography (HPLC) analysis demonstrated that both HIOP and I-BP-EG3 could be incorporated into mitochondria abundantly, the number of EG units probably affects CI inhibitory function of 9bw and its analogues rather than their efficacy to enter cell and mitochondria.",2025-03-20
40199779,Iterative Optimization Yields Stapled Peptides with Superior Pharmacokinetics and Potency for Renal Fibrosis Treatment.,"Renal fibrosis, resulting from myofibroblast-mediated excessive extracellular matrix (ECM) deposition, lacks effective treatments. Novel peptide DR3penA developed by our group showed therapeutic potential for fibrotic diseases; however, its application was hindered by poor stability and bioavailability. To address this unmet need, we implemented stepwise optimization of DR3penA. The conformationally restricted analogs designed via structural predictions enhanced both activity and stability. Through structure-activity relationship analysis and cleavage site mapping, introducing unnatural amino acids improved stability. Fatty acid modifications conferred fibroblast-selective cytotoxicity and improved pharmacokinetics. After several rounds of progressive modification, peptide <b>27</b> exhibited remarkable stability, with a 5.68-fold extended half-life compared to DR3penA. Following profibrotic stimuli, peptide <b>27</b> effectively inhibited myofibroblast activation, epithelial-mesenchymal transition, and ECM synthesis. It also attenuated renal fibrosis in a unilateral ureteral obstruction model. Our study leverages multiple modifications that integrate cell and animal models to identify peptide <b>27</b> as a promising candidate for renal fibrosis therapy.",2025-04-08
40191352,<sup>68</sup>Ga-Labeled Peptide for Noninvasive Quantifying Tumor Exposure of PD-L1 Therapeutics.,"Targeting the programmed death protein 1/programmed death-ligand 1 (PD-1/PD-L1) immune checkpoint blockade therapy plays a critical role in cancer therapy. However, not all patients benefit from this approach, with PD-L1 expression levels being a significant contributing factor. Positron emission tomography (PET) imaging of PD-L1 offers a noninvasive, whole-body, and dynamic assessment of its expression. This study aims to develop a novel peptide-based PD-L1 tracer, [<sup>68</sup>Ga]HF12, to quantitatively evaluate PD-L1 expression in tumors, thereby offering clinical guidance.",2025-03-18
40187756,Conformation-sensitive targeting of CD18 depletes M2-like tumor-associated macrophages resulting in inhibition of solid tumor progression.,"Tumor-associated macrophages (TAMs) primarily exist in the M2-like phenotype in the tumor microenvironment (TME). M2-TAMs contribute to tumor progression by establishing an immunosuppressive environment. However, TAM targeting is hindered, mainly owing to a lack of specific biomarkers for M2-TAMs. Previously, we demonstrated that a novel peptide drug conjugate (TB511) consisting of a TAM-binding peptide and the apoptosis-promoting peptide targets M2-TAMs. This was achieved through M2-TAM targeting, although the target mechanism of action remained elusive. Herein, we elucidate the anticancer efficacy of TB511 by identifying new target proteins that preferentially bind to M2-TAMs and clarifying the apoptosis-inducing mechanism in these cells.",2025-04-05
40179614,Synthesis and structure-activity evaluation of a series of novel tricyclic STING activators.,"A novel small molecule tricyclic series of STING activators was designed, synthesized and evaluated for human STING activity. These STING agonists were optimized from an initial set of structures with low potency through iterative cycles of design, synthesis and biological evaluation to yield compounds with potent human STING activity. The binding and functional properties of 68, an exemplar from the series were determined. Further, while 68 activated major variants of human STING it did not activate murine STING. Treatment of human PBMCs led to pathway engagement and the release of pro-inflammatory cytokines. When administered intra-tumorally, 68 caused robust retardation in the growth of MCA205 mouse fibrosarcoma tumors in human STING knock-in mice.",2025-03-28
40177869,Broadening the Therapeutic Window of ADCs Using Site-Specific Bioconjugation Showcased by an MMAE-Containing Peptide Linker in a CD79b-Targeting ADC.,"The limitations of first-generation antibody-drug conjugate (ADC) technologies include suboptimal stability and efficacy, poor safety profiles, and challenging manufacturing processes. In this study, we describe an anti-CD79b-monomethyl auristatin E (MMAE) ADC generated using a novel peptide-based linker technology that allows for site-specific linker-payload conjugation to native antibodies in only one step. The ADC comprises native polatuzumab as the targeting antibody and a linker-payload consisting of a RKAA-peptide linker and MMAE. We compared our anti-CD79b-RKAA-MMAE ADC with polatuzumab vedotin (PV), the FDA-approved ADC for diffuse large B-cell lymphoma. In the clinic, PV shows significant instability in circulation, leading to strong and dose-limiting side effects, including neutropenia and peripheral neuropathy. The anti-CD79b-RKAA-MMAE ADC showed optimal biophysical properties with a well-defined drug-to-antibody ratio of 2. It demonstrated potent cytotoxicity in multiple cancer cell lines and was very stable in mouse, cynomolgus monkey, and human sera. The anti-CD79b-RKAA-MMAE conjugate showed equal antitumor efficacy at half the payload dose compared with PV in different xenograft models. At equal MMAE concentrations, greater tumor growth inhibition and a considerably longer duration of response were observed. Ultimately, the highest nonseverely toxic dose of 30 mg/kg was determined in a 4-week repeat-dose toxicology study in rats, which is a 3-fold higher ADC dose than reported for PV. In summary, the data show that our novel site-specific bioconjugation technology enabled the generation of an anti-CD79b-RKAA-MMAE ADC with highly favorable biophysical properties and a greatly improved therapeutic index by a factor of 4 to 6 compared with PV. The ADC may therefore represent a safe and efficacious alternative for patients with diffuse large B-cell lymphoma.",2025-04-03
40177110,"Protein to biomaterials: Unraveling the antiviral and proangiogenic activities of Ac-Tβ<sub>1-17</sub> peptide, a thymosin β4 metabolite, and its implications in peptide-scaffold preparation.","Peptide metabolites are emerging biomolecules with numerous possibilities in biomaterial-based regenerative medicine due to their inherent bioactivities. These small, naturally occurring compounds are intermediates or byproducts of larger proteins and peptides, and they can have profound effects, such as antiviral therapeutics, proangiogenic agents, and regenerative medicinal applications. This study is among the first to focus on using thymosin β4 protein-derived metabolites to pioneer novel applications for peptide metabolites in biomaterials. This study found that the novel peptide metabolite acetyl-thymosin β4 (amino acid 1-17) (Ac-Tβ<sub>1-17</sub>) exhibited significant protease inhibition activity against SARS-CoV-2, surpassing its precursor protein. Additionally, Ac-Tβ<sub>1-17</sub> demonstrated beneficial effects, such as cell proliferation, wound healing, and scavenging of reactive oxygen species (ROS) in human umbilical vein endothelial cells (HUVEC). Integrating Ac-Tβ<sub>1-17</sub> into a peptide-based scaffold facilitated cell growth and angiogenesis inside the scaffold and through gradual release into the surrounding environment. The Ac-Tβ<sub>1-17</sub> peptide treatment induced significant biochemical responses in HUVEC, increasing Akt, ERK, PI3K, MEK, and Bcl-2 gene expression and proangiogenic proteins. Ac-Tβ<sub>1-17</sub> peptide treatment showed similar results in ex vivo by enhancing mouse fetal metatarsal growth and angiogenesis. These findings highlight the potential of natural protein metabolites to generate biologically active peptides, offering a novel strategy for enhancing biomaterial compatibility. This approach holds promise for developing therapeutic biomaterials using peptide metabolites, presenting exciting prospects for future research and applications.",2025-03-19
40169588,Targeting METTL3 mitigates venetoclax resistance via proteasome-mediated modulation of MCL1 in acute myeloid leukemia.,"Venetoclax, a selective BCL2 inhibitor, is extensively utilized in clinical settings for the treatment of acute myeloid leukemia (AML). However, its efficacy is often compromised by the development of drug resistance. Hence, identification of potential venetoclax combination treatment strategies is imperative to overcome this acquired resistance. In this study, we discovered that inhibition of METTL3 can synergistically enhance the anti-leukemic efficacy of venetoclax, and is capable of overcoming venetoclax resistance in in vivo experiments and various venetoclax resistance models. Mechanistic study revealed that STM2457 augmented venetoclax activity by downregulating MCL1 and MYC, thereby increasing apoptosis in leukemia cells induced by venetoclax. Further investigation demonstrated that STM2457 promotes the ubiquitination and subsequent protein degradation of MCL1 primarily through pharmaceutically targeting METTL3. Moreover, through molecular docking-based virtual screening, we identified isoliquiritigenin as a potential novel small molecule natural product targeting METTL3, which exhibited potential effects as an anti-leukemic agent.",2025-04-01
40168838,pACPs-DNN: Predicting anticancer peptides using novel peptide transformation into evolutionary and structure matrix-based images with self-attention deep learning model.,"Globally, cancer remains a major health challenge due to its high mortality rates. Traditional experimental approaches and therapies are resource-intensive and often cause significant side effects. Anticancer peptides (ACPs) have emerged as alternative therapeutic agents owing to their selectivity, safety, and potential to mitigate drug resistance. In this paper, we propose pACPs-DNN, a novel attention mechanism-based deep learning model developed for the accurate prediction of ACPs and non-ACPs. The pACPs-DNN model transforms input peptides into image representations using residue-wise energy contact matrix (RECM), substitution Matrix Representation (SMR), and Position Specific Scoring Matrix (PSSM) embeddings, followed by local binary pattern (LBP)-based decomposition to capture enhanced structural and local semantic features. These transformations generate novel feature sets, including RECM_LBP, LBP_SMR, and LBP_PSSM. Subsequently, a two-tier feature selection approach is employed to identify a high-ranking optimal feature set, which is then used to train an attention-based deep neural network. The proposed pACPs-DNN model achieves an impressive training accuracy of 96.91 % and an AUC of 0.98. To evaluate its generalization capability, the model was validated on independent datasets, demonstrating significant improvements of 5 % and 3.5 % in accuracy over existing models on the Ind-I and Ind-II datasets, respectively. The demonstrated efficacy and robustness of pACPs-DNN highlight its potential as a valuable tool for advancing drug discovery and academic research in cancer-related therapeutic development.",2025-03-28
40165933,Novel peptide inhibitor for the Chikungunya virus nsP2 protease: Identification and characterization.,"Chikungunya virus (CHIKV) is an emerging pathogen affecting populations worldwide, with rapidly increasing infection rates. CHIKV, an arbovirus of the alphavirus genus, is predominantly found in tropical regions and transmitted by <i>Aedes</i> mosquitoes. Climate change has accelerated the global spread of these vectors, leading to outbreaks in non-tropical regions, including parts of Europe. The absence of antiviral therapies and the potential for co-infections with other viruses make CHIKV a significant public health concern. CHIKV replication relies on nsP2 cysteine protease activity to cleave its viral polyprotein into functional nonstructural and structural proteins. Targeting the nsP2 protease represents a promising strategy for antiviral therapy development. In this study, phage display was used to screen a library of peptides for potential binders of the target protease. Biophysical and biochemical analyses of the identified peptides assessed their inhibitory potential. Among the six identified peptides (named as P1-P6), four demonstrated inhibitory effects on the nsP2 protease (nsP2<sup>pro</sup>). Peptide P1 exhibited the strongest inhibitory effect, with a half-maximal inhibitory concentration (IC<sub>50</sub>) of 4.6 ± 1.9 µM, and a low cytotoxicity. The secondary structure analysis through CD spectroscopy and homology modelling revealed that P1 adopts an alpha-helical conformation. Finally, molecular dynamics simulations enabled us to investigate the dynamics of the nsP2<sup>pro</sup> active site and molecular docking was employed to predict the orthosteric binding mode of P1, providing insights into protein-peptide interaction. These findings underscore the potential of peptide P1 as a lead compound for further investigation in the context of CHIKV research.",2025-03-11
40154176,Prediction of a novel synthetic peptide vaccine against tuberculosis and validation of its immunogenicity.,"Tuberculosis (TB) is an infectious disease transmitted through the respiratory system that affects people worldwide. Bacillus Calmette-Guérin (BCG), the only approved TB vaccine, has been shown to have highly variable protective efficacy in different populations and is ineffective at protecting adults. Therefore, the development of more effective TB vaccines is vital.",2025-03-27
40150858,AZP2006 (Ezeprogind<sup>®</sup>): a Promising New Drug Candidate in the Battle Against Neurodegenerative Diseases.,"Progressive Supranuclear Palsy (PSP) is a rare neurodegenerative disorder characterized by abnormal tau protein accumulation. This perspective article explores AZP2006 (INN: Ezeprogind), a novel small molecule targeting the Progranulin (PGRN) and Prosaposin (PSAP) axis to enhance lysosomal health in PSP treatment. AZP2006 stabilizes the PGRN-PSAP complex, improving lysosomal function and reducing tau pathology. Preclinical studies in tauopathy models demonstrated AZP2006's ability to decrease tau hyperphosphorylation, enhance neuronal survival, mitigate neuroinflammation and promote synaptogenesis. Clinical trials have shown AZP2006 to be well-tolerated in healthy volunteers and PSP patients. A Phase 2a study met its primary endpoints, as it provided valuable safety data and even encouraged further investigation of its efficacy in a larger clinical study. An upcoming Phase 2b/3 trial aims to assess long-term safety and efficacy in a larger PSP cohort. AZP2006's mechanism of action strongly suggests potential applications in other tauopathies, including Alzheimer's and Parkinson's diseases. By addressing lysosomal dysfunction and tau pathology, AZP2006 represents a promising disease-modifying approach for PSP and other neurodegenerative disorders.",2025-03-27
40144621,Covert cerebrospinal fluid dynamics dysfunction: evolution from conventional to innovative therapies.,"Cerebrospinal fluid (CSF) dynamics disorders are intricately linked to diverse neurological pathologies, though they usually are mild and covert. Contemporary insights into glymphatic system function, particularly the CSF transport, drainage, and its role in clearing metabolic waste and toxic substances in both normal and pathological states, and the pivotal role of aquaporin-4 (AQP4) in CSF-interstitial fluid (ISF) exchange, have established novel theoretical frameworks of subclinical CSF dynamics dysfunction, and have promoted the development of non-surgical therapeutic approaches for them simultaneously. This review comprehensively analyzes the advancement of non-surgical interventions for CSF dynamics disorders, emphasizing the transition from established methodologies to innovative approaches. Current non-surgical treatment strategies primarily encompass three directions: pharmacological therapy, physical therapy, and biological regulation therapy. In terms of pharmacological interventions, developments from traditional diuretics to novel small-molecule drugs show promising therapeutic potential. In physical therapy, innovative techniques such as lower body negative pressure, transcranial magnetic stimulation, and vagus nerve stimulation have provided new options for clinical practice. Meanwhile, biological regulation therapy, exemplified by recombinant VEGF-C administration, has established novel therapeutic paradigms. These therapeutic strategies have demonstrated potential in improving CSF dynamics and enhancing CSF waste elimination. Future research should focus on developing individualized treatment protocols, elucidating of therapeutic mechanisms, and assessing longitudinal outcomes. This will facilitate the development of more precise therapeutic strategies and exploration of optimized multimodal treatment combinations in handling the so-called convert CSF dynamics dysfunction.",2025-03-12
40139077,Inhibition of interleukin-1 signaling protects against Group B streptococcus-induced preterm birth and fetal loss in mice.,"Group B streptococcus is a common microbial agent associated with spontaneous preterm birth and fetal inflammatory response syndrome. In this study, we evaluated the utility of rytvela, a novel peptide antagonist of the interleukin-1 receptor, to suppress inflammatory activation, prolong gestation and improve neonatal outcomes induced in mice by Group B streptococcus. Pregnant mice were administered rytvela or PBS on gestation day 16.5, immediately prior and following surgical administration of heat-killed Group B streptococcus (hkGBS) or PBS into the uterine cavity. Treatment with rytvela prevented preterm delivery and alleviated fetal demise in utero and in the perinatal phase elicited by hkGBS. Compared to pups exposed to hkGBS alone, pups of dams co-administered rytvela exhibited substantially improved survival and growth through to weaning. Analysis by qPCR showed expression of inflammatory cytokine genes Il1b, Il6, Tnf, and Ifng in uterine tissues, and Il1b, Il6, and Tnf in fetal membranes, were stimulated by hkGBS and this increase was suppressed by co-administration of rytvela. Premature induction of uterine activation gene Ptgs2 in the myometrium was also attenuated by rytvela treatment. These data show that activation of IL1-mediated signaling in response to Group B streptococcus triggers an inflammatory cascade that causes preterm parturition and fetal inflammatory injury, and that rytvela can suppress inflammatory mediators to substantially improve pregnancy and fetal outcomes. Our findings add to accumulating evidence supporting clinical investigation of rytvela for fetal protection and delaying preterm birth.",2025-03-17
